slug,机型,原始字幕文章,旧版引用,字幕索引路径,B站链接,BV号,创作者,状态
olympus-mju-1,奥林巴斯 mju-1,奥林巴斯mju1测评_千元以内性价比首选,../01_articles/奥林巴斯mju1测评_千元以内性价比首选.md,,,,,字幕索引未匹配
olympus-mju-1,奥林巴斯 mju-1,胶片摄影入门到进阶全面指南！,../01_articles/胶片摄影入门到进阶全面指南！.md,,,,,字幕索引未匹配
olympus-mju-1,奥林巴斯 mju-1,新手旅行胶片相机推荐,../01_articles/新手旅行胶片相机推荐.md,,,,,字幕索引未匹配
olympus-mju-2,奥林巴斯 mju-2,奥林巴斯mju1测评_千元以内性价比首选,../01_articles/奥林巴斯mju1测评_千元以内性价比首选.md,,,,,字幕索引未匹配
olympus-mju-2,奥林巴斯 mju-2,胶片摄影入门到进阶全面指南！,../01_articles/胶片摄影入门到进阶全面指南！.md,,,,,字幕索引未匹配
olympus-mju-2,奥林巴斯 mju-2,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
olympus-om-1,奥林巴斯 OM-1,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
olympus-om-1,奥林巴斯 OM-1,超适合新手的胶片相机！奥林巴斯OM10,../01_articles/超适合新手的胶片相机！奥林巴斯OM10.md,,,,,字幕索引未匹配
olympus-om-10,奥林巴斯 OM-10,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
olympus-om-10,奥林巴斯 OM-10,超适合新手的胶片相机！奥林巴斯OM10,../01_articles/超适合新手的胶片相机！奥林巴斯OM10.md,,,,,字幕索引未匹配
olympus-om-2,奥林巴斯 OM-2,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
olympus-om-2n,奥林巴斯 OM-2n,Jie's Lens 入门指北,../01_articles/Jie's Lens 入门指北.md,,,,,字幕索引未匹配
olympus-om-4,奥林巴斯 OM-4,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
olympus-pen-d3,奥林巴斯 Pen D3,这！就是胶片！,../01_articles/这！就是胶片！.md,,,,,字幕索引未匹配
olympus-pen-ee-2,奥林巴斯 Pen EE-2,新手旅行胶片相机推荐,../01_articles/新手旅行胶片相机推荐.md,,,,,字幕索引未匹配
olympus-pen-f,奥林巴斯 Pen F 系列,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
olympus-xa,奥林巴斯 XA,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
olympus-xa,奥林巴斯 XA,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
pentax-6-7,宾得 6×7,张有伯全面指南,../01_articles/张有伯全面指南.md,,,,,字幕索引未匹配
pentax-espio-mini,宾得 Espio Mini,2025年度爱用相机_从数码到胶片,../01_articles/2025年度爱用相机_从数码到胶片.md,01_articles/2025年度爱用相机_从数码到胶片.md,https://www.bilibili.com/video/BV1rSiMBmEQF/,BV1rSiMBmEQF,德松Desong,已恢复
pentax-espio-mini,宾得 Espio Mini,入门胶片相机不知道怎么选？推荐几款性价比高的胶片傻瓜相机！,../01_articles/入门胶片相机不知道怎么选？推荐几款性价比高的胶片傻瓜相机！.md,,,,,字幕索引未匹配
pentax-k1000,宾得 K1000,【中字】胶片摄影 _ 2024年新手如何选购胶片相机,../01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,01_articles/【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,https://www.bilibili.com/video/BV1LF4m1M7ca/,BV1LF4m1M7ca,ContactSheets,已恢复
