article_title,source_group,archive_path,bvid,video_url,creator,published_at,status
2026-07-11-100元福利局 国产唯一腰屏胶片相机 珠江201,00_raw,00_raw/2026-07-11-100元福利局 国产唯一腰屏胶片相机 珠江201.md,BV1bbTX6UEGv,https://www.bilibili.com/video/BV1bbTX6UEGv/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,淘宝仅一位,,有效
2026-07-11-16个品牌83台相机！手动胶片单反相机终极推荐,00_raw,00_raw/2026-07-11-16个品牌83台相机！手动胶片单反相机终极推荐.md,BV1QydMBSEPa,https://www.bilibili.com/video/BV1QydMBSEPa/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,大耳蟹,,有效
2026-07-11-2025年度爱用相机_从数码到胶片,00_raw,00_raw/2026-07-11-2025年度爱用相机_从数码到胶片.md,BV1rSiMBmEQF,https://www.bilibili.com/video/BV1rSiMBmEQF/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,德松Desong,,有效
2026-07-11-Q&A胶片相机_百元入门到万元哈苏,00_raw,00_raw/2026-07-11-Q&A胶片相机_百元入门到万元哈苏.md,BV1kz411B7pM,https://www.bilibili.com/video/BV1kz411B7pM/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,晁然然然然,,有效
2026-07-11-【Jie's Lens】胶片摄影新手入门指北,00_raw,00_raw/2026-07-11-【Jie's Lens】胶片摄影新手入门指北.md,BV1cT411Q7NU,https://www.bilibili.com/video/BV1cT411Q7NU/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,Jie's Lens,,有效
2026-07-11-【中字】胶片摄影 _ 2024年新手如何选购胶片相机,00_raw,00_raw/2026-07-11-【中字】胶片摄影 _ 2024年新手如何选购胶片相机.md,BV1LF4m1M7ca,https://www.bilibili.com/video/BV1LF4m1M7ca/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,ContactSheets,,有效
2026-07-11-【口袋胶片机成像排行榜】我花了80000元,00_raw,00_raw/2026-07-11-【口袋胶片机成像排行榜】我花了80000元.md,BV1Uj411Z7E9,https://www.bilibili.com/video/BV1Uj411Z7E9/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,德松Desong,,有效
2026-07-11-【纯干货】零基础胶片机入门教程,00_raw,00_raw/2026-07-11-【纯干货】零基础胶片机入门教程.md,BV1HL411h7JW,https://www.bilibili.com/video/BV1HL411h7JW/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,鱼籽酱,,有效
2026-07-11-不会吧不会吧还有人不会选胶片相机？,00_raw,00_raw/2026-07-11-不会吧不会吧还有人不会选胶片相机？.md,BV1n7411t7DA,https://www.bilibili.com/video/BV1n7411t7DA/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-买第一台胶片相机必须要知道的事,00_raw,00_raw/2026-07-11-买第一台胶片相机必须要知道的事.md,BV1k7411q7YL,https://www.bilibili.com/video/BV1k7411q7YL/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-二手胶片相机怎么选,00_raw,00_raw/2026-07-11-二手胶片相机怎么选.md,BV1qt411j7ix,https://www.bilibili.com/video/BV1qt411j7ix/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-便宜好用的胶片相机推荐,00_raw,00_raw/2026-07-11-便宜好用的胶片相机推荐.md,BV1kS4y1z7xb,https://www.bilibili.com/video/BV1kS4y1z7xb/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-佳能AE-1测评,00_raw,00_raw/2026-07-11-佳能AE-1测评.md,BV1B5411M7LW,https://www.bilibili.com/video/BV1B5411M7LW/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-佳能A系列胶片相机怎么选,00_raw,00_raw/2026-07-11-佳能A系列胶片相机怎么选.md,BV1tP4y1A7UR,https://www.bilibili.com/video/BV1tP4y1A7UR/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-佳能EOS 3测评,00_raw,00_raw/2026-07-11-佳能EOS 3测评.md,BV1oP4y1A7SU,https://www.bilibili.com/video/BV1oP4y1A7SU/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-傻瓜相机怎么选,00_raw,00_raw/2026-07-11-傻瓜相机怎么选.md,BV1o4411c7QR,https://www.bilibili.com/video/BV1o4411c7QR/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
2026-07-11-全机械胶片相机推荐,00_raw,00_raw/2026-07-11-全机械胶片相机推荐.md,BV1Yq4y1K7Rb,https://www.bilibili.com/video/BV1Yq4y1K7Rb/?spm_id_from=333.337.search-card.all.click&vd_source=c5a85d495a309cea575ce048afdfd3cf,橙红Iris,,有效
